RUN,IPTS,START TIME,END TIME,DURATION,PROTON CHARGE,TITLE,TOTAL COUNTS,SAMPLE PHI,CCR-ColdTip,CCR-Sample
47306,IPTS-19545,2017/07/13/14:59:14,2017/07/13/15:10:35,680.706,590639479950.0,Tube Calib in vac V 5*8 mm2 A27-28 B30-32,28737262,0.0,0.0,0.0
47307,IPTS-19545,2017/07/13/15:16:26,2017/07/13/19:39:07,15761.0,1.20743114948e+13,Tube Calib in vac V 5*8 mm2 A27-28 B30-32,739758245,0.0,0.0,0.0
47308,IPTS-19545,2017/07/13/19:39:14,2017/07/14/08:31:38,46344.2,3.98922173405e+13,Tube Calib in vac V 5*8 mm2 A27-28 B30-32 Run2,2448312173,0.0,0.0,0.0
47309,IPTS-19545,2017/07/14/12:08:21,2017/07/14/19:05:37,25035.8,2.13174794661e+13,Tube Calib in vac V 5*8 mm2 A25-26 B262729,550715814,0.0,0.0,0.0
47310,IPTS-19545,2017/07/14/22:28:19,2017/07/15/06:58:17,30598.0,2.57912706897e+13,Tube Calib in vac V 5*8 mm2 A21-24 B24,523767252,0.0,0.0,0.0
47311,IPTS-19545,2017/07/15/10:08:28,2017/07/15/18:44:24,30956.0,2.62839670956e+13,Tube Calib in vac V 5*8 mm2 A19-A20 B22-B24,534901435,0.0,0.0,0.0
47312,IPTS-19545,2017/07/15/21:43:11,2017/07/16/07:04:24,33673.5,2.86701566114e+13,Tube Calib in vac V 5*8 mm2 A17-A18 B19-B21,585899094,0.0,0.0,0.0
47313,IPTS-19545,2017/07/16/09:24:59,2017/07/16/18:34:27,32968.2,2.7688859934e+13,Tube Calib in vac V 5*8 mm2 A14-A16 B17-B18,780887291,0.0,0.0,0.0
47314,IPTS-19545,2017/07/16/21:26:29,2017/07/17/07:07:54,34884.8,2.32743282806e+13,Tube Calib in vac V 5*8 mm2 A12-A13 B13-B15,189056359,0.0,0.0,0.0
47315,IPTS-19545,2017/07/17/10:02:29,2017/07/17/19:02:34,32404.7,2.77365791544e+13,Tube Calib in vac V 5*8 mm2 A10-A11 B10-B12,442358747,0.0,0.0,0.0
47316,IPTS-19545,2017/07/17/21:35:38,2017/07/18/09:00:53,41115.3,3.26902289098e+13,Tube Calib in vac V 5*8 mm2 A7-A8 B9-B10 B16,818259280,0.0,0.0,0.0
47317,IPTS-19545,2017/07/18/18:36:54,2017/07/18/19:39:03,3728.92,4.00012547226e+12,Tube Calib in vac CCR V 5*8 mm2 B4-B8,37299005,0.0,297.072772796,298.050151694
47318,IPTS-19545,2017/07/18/19:39:03,2017/07/18/20:39:53,3650.14,4.00036414832e+12,Tube Calib in vac CCR V 5*8 mm2 B4-B8,37055900,0.0,297.31907513,298.297017206
47319,IPTS-19545,2017/07/18/20:39:53,2017/07/18/21:39:31,3578.17,4.00016174293e+12,Tube Calib in vac CCR V 5*8 mm2 B4-B8,36909214,0.0,297.52231823,298.487732949
47320,IPTS-19545,2017/07/18/21:39:31,2017/07/19/11:46:00,50789.1,6.00005519697e+13,Tube Calib in vac CCR V 5*8 mm2 B4-B8,440340746,0.0,295.449663213,298.514645897
47321,IPTS-19545,2017/07/19/16:49:55,2017/07/20/08:52:50,57775.4,6.63331743703e+13,Tube Calib in vac CCR V 5*8 mm2 B1-B3 C7-C8,4662457744,0.0,0.0,0.0
47322,IPTS-19545,2017/07/20/17:53:43,2017/07/21/09:19:40,55556.9,6.72887264314e+13,Tube Calib in vac CCR V 5*8 mm2 C10-C14,4807656924,360.0,0.0,0.0
47323,IPTS-19545,2017/07/21/18:15:01,2017/07/22/06:32:22,44240.3,5.35534047386e+13,Tube Calib in vac CCR V 5*8 mm2 C15-C19,3719273490,0.0,0.0,0.0
47324,IPTS-19545,2017/07/22/10:13:26,2017/07/22/15:49:46,20179.9,2.44277787259e+13,Tube Calib in vac CCR V 5*8 mm2 C20-C24,1680053658,0.0,0.0,0.0
47325,IPTS-19545,2017/07/22/15:51:17,2017/07/22/19:06:18,11701.2,1.42486530071e+13,Tube Calib in vac CCR V 5*8 mm2 C20-C24 restart,990827706,0.0,0.0,0.0
47326,IPTS-19545,2017/07/22/21:42:16,2017/07/23/09:38:35,42979.2,4.45097243424e+13,Tube Calib in vac CCR V 5*8 mm2 B28 C25-C28,3095079007,0.0,0.0,0.0
